HGNC ID	Approved symbol	Approved name	Ensembl ID(supplied by Ensembl)
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	
HGNC:21298	AACS	acetoacetyl-CoA synthetase	ENSG00000081760
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	ENSG00000250420
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	
HGNC:17	AADAC	arylacetamide deacetylase	ENSG00000114771
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	ENSG00000197953
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	ENSG00000242908
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	ENSG00000188984
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	ENSG00000204518
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	ENSG00000240602
HGNC:17929	AADAT	aminoadipate aminotransferase	ENSG00000109576
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	ENSG00000103591
HGNC:19679	AAK1	AP2 associated kinase 1	ENSG00000115977
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	ENSG00000087884
HGNC:18	AAMP	angio associated migratory cell protein	ENSG00000127837
HGNC:19	AANAT	aralkylamine N-acetyltransferase	ENSG00000129673
HGNC:15886	AAR2	AAR2 splicing factor	ENSG00000131043
HGNC:33842	AARD	alanine and arginine rich domain containing protein	ENSG00000205002
HGNC:20	AARS1	alanyl-tRNA synthetase 1	ENSG00000090861
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	ENSG00000249038
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	ENSG00000124608
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	ENSG00000266967
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1	ENSG00000234969
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	ENSG00000157426
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSG00000149313
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	ENSG00000008311
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	ENSG00000215458
HGNC:19235	AATF	apoptosis antagonizing transcription factor	ENSG00000275700
HGNC:21	AATK	apoptosis associated tyrosine kinase	ENSG00000181409
HGNC:22	AAVS1	adeno-associated virus integration site 1	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	ENSG00000281376
HGNC:23	ABAT	4-aminobutyrate aminotransferase	ENSG00000183044
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ENSG00000165029
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ENSG00000107331
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ENSG00000167972
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	ENSG00000198691
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	ENSG00000154265
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	ENSG00000154262
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	ENSG00000064687
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	ENSG00000141338
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	ENSG00000154258
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	ENSG00000231749
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	ENSG00000154263
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ENSG00000251595
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	ENSG00000144452
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	ENSG00000179869
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ENSG00000238098
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	ENSG00000085563
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	ENSG00000005471
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	ENSG00000004846
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ENSG00000115657
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ENSG00000131269
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	ENSG00000197150
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	ENSG00000150967
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	ENSG00000135776
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	ENSG00000274099
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	ENSG00000261524
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	ENSG00000260053
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	ENSG00000073734
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	ENSG00000103222
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	ENSG00000023839
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	ENSG00000108846
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	ENSG00000125257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	ENSG00000114770
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	ENSG00000223882
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	ENSG00000091262
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	ENSG00000256340
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	ENSG00000255277
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)	
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	ENSG00000006071
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	ENSG00000069431
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	ENSG00000124574
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	ENSG00000121270
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	ENSG00000140798
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	ENSG00000243064
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	ENSG00000101986
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	ENSG00000215151
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	ENSG00000261233
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	ENSG00000225293
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	ENSG00000214330
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ENSG00000173208
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	ENSG00000117528
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	ENSG00000119688
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	ENSG00000164163
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ENSG00000204574
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	ENSG00000033050
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ENSG00000285292
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	ENSG00000242159
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	ENSG00000228769
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	ENSG00000161204
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	ENSG00000160179
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ENSG00000118777
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	ENSG00000172350
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	ENSG00000138075
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	ENSG00000143921
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	
HGNC:17553	ABHD1	abhydrolase domain containing 1	ENSG00000143994
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	ENSG00000140526
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	ENSG00000158201
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	ENSG00000100439
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ENSG00000011198
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	ENSG00000163686
HGNC:23759	ABHD8	abhydrolase domain containing 8	ENSG00000127220
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	ENSG00000144827
HGNC:16407	ABHD11	abhydrolase domain containing 11	ENSG00000106077
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	ENSG00000225969
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2	
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	ENSG00000100997
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	ENSG00000131969
HGNC:20293	ABHD13	abhydrolase domain containing 13	ENSG00000139826
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	ENSG00000114786
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	ENSG00000114779
HGNC:26971	ABHD15	abhydrolase domain containing 15	ENSG00000168792
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	ENSG00000264031
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	ENSG00000204427
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	ENSG00000183260
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	ENSG00000129968
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	ENSG00000198658
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	ENSG00000250536
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	ENSG00000229107
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	ENSG00000263366
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	ENSG00000226981
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	ENSG00000260864
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	ENSG00000260540
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	ENSG00000261536
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	ENSG00000107362
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	ENSG00000136379
HGNC:26111	ABHD18	abhydrolase domain containing 18	ENSG00000164074
HGNC:11320	ABI1	abl interactor 1	ENSG00000136754
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	ENSG00000271484
HGNC:24011	ABI2	abl interactor 2	ENSG00000138443
HGNC:29859	ABI3	ABI family member 3	ENSG00000108798
HGNC:17265	ABI3BP	ABI family member 3 binding protein	ENSG00000154175
HGNC:1364	ABITRAM	actin binding transcription modulator	ENSG00000119328
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	ENSG00000251106
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ENSG00000143322
HGNC:78	ABLIM1	actin binding LIM protein 1	ENSG00000099204
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	ENSG00000163995
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	ENSG00000173210
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ENSG00000175164
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	ENSG00000159842
HGNC:55674	ABR-AS1	ABR antisense RNA 1	
HGNC:30655	ABRA	actin binding Rho activating protein	ENSG00000174429
HGNC:21230	ABRACL	ABRA C-terminal like	ENSG00000146386
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	ENSG00000163322
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	ENSG00000165660
HGNC:17369	ABT1	activator of basal transcription 1	ENSG00000146109
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	ENSG00000250496
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	ENSG00000114626
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	ENSG00000166016
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	ENSG00000060971
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	ENSG00000167315
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1	
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ENSG00000278540
HGNC:85	ACACB	acetyl-CoA carboxylase beta	ENSG00000076555
HGNC:86	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)	
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	ENSG00000151498
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	ENSG00000177646
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	ENSG00000111271
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	ENSG00000240303
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	ENSG00000115361
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	ENSG00000117054
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	ENSG00000122971
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	ENSG00000196177
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	ENSG00000072778
HGNC:319	ACAN	aggrecan	ENSG00000157766
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ENSG00000072818
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ENSG00000114331
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	ENSG00000229325
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ENSG00000131584
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ENSG00000075239
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	ENSG00000120437
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	ENSG00000182827
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	ENSG00000234478
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	ENSG00000181513
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	ENSG00000107897
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	ENSG00000230124
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	ENSG00000176244
HGNC:96	ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)	
HGNC:97	ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)	
HGNC:98	ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)	
HGNC:14594	ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)	
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ENSG00000110455
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ENSG00000205126
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	ENSG00000102977
HGNC:2707	ACE	angiotensin I converting enzyme	ENSG00000159640
HGNC:13557	ACE2	angiotensin converting enzyme 2	ENSG00000130234
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	ENSG00000224353
HGNC:18356	ACER1	alkaline ceramidase 1	ENSG00000167769
HGNC:23675	ACER2	alkaline ceramidase 2	ENSG00000177076
HGNC:54674	ACER2P1	ACER2 pseudogene 1	ENSG00000180105
HGNC:16066	ACER3	alkaline ceramidase 3	ENSG00000078124
HGNC:106	ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)	
HGNC:107	ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)	
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	ENSG00000087085
HGNC:109	ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	
HGNC:110	ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)	
HGNC:111	ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	
HGNC:112	ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)	
HGNC:113	ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)	
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ENSG00000100813
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ENSG00000213088
HGNC:1565	ACKR2	atypical chemokine receptor 2	ENSG00000144648
HGNC:23692	ACKR3	atypical chemokine receptor 3	ENSG00000144476
HGNC:1611	ACKR4	atypical chemokine receptor 4	ENSG00000129048
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	ENSG00000225415
HGNC:114	ACLS	acrocallosal syndrome	
HGNC:115	ACLY	ATP citrate lyase	ENSG00000131473
HGNC:116	ACMG	acromegaly	
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ENSG00000153086
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	ENSG00000227411
HGNC:117	ACO1	aconitase 1	ENSG00000122729
HGNC:118	ACO2	aconitase 2	ENSG00000100412
HGNC:33904	ACOD1	aconitate decarboxylase 1	ENSG00000102794
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	ENSG00000184227
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	ENSG00000119673
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	ENSG00000177465
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	ENSG00000205669
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	ENSG00000097021
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	ENSG00000101473
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	ENSG00000123130
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	ENSG00000162390
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	ENSG00000172497
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	ENSG00000112304
HGNC:119	ACOX1	acyl-CoA oxidase 1	ENSG00000161533
HGNC:120	ACOX2	acyl-CoA oxidase 2	ENSG00000168306
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	ENSG00000087008
HGNC:25621	ACOXL	acyl-CoA oxidase like	ENSG00000153093
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	ENSG00000204581
HGNC:122	ACP1	acid phosphatase 1	ENSG00000143727
HGNC:123	ACP2	acid phosphatase 2, lysosomal	ENSG00000134575
HGNC:125	ACP3	acid phosphatase 3	ENSG00000014257
HGNC:14376	ACP4	acid phosphatase 4	ENSG00000142513
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	ENSG00000102575
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	ENSG00000162836
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	ENSG00000183760
HGNC:126	ACR	acrosin	ENSG00000100312
HGNC:17195	ACRBP	acrosin binding protein	ENSG00000111644
HGNC:54745	ACRP1	ACR pseudogene 1	ENSG00000175509
HGNC:127	ACRV1	acrosomal vesicle protein 1	ENSG00000134940
HGNC:128	ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)	
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	ENSG00000103740
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	ENSG00000130377
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	ENSG00000167107
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	ENSG00000176715
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	ENSG00000151726
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	ENSG00000123983
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	ENSG00000234193
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	ENSG00000068366
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	ENSG00000197142
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	ENSG00000164398
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	ENSG00000223548
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	ENSG00000166743
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	ENSG00000183747
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	ENSG00000066813
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	ENSG00000005187
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	ENSG00000215009
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	ENSG00000183549
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	ENSG00000260762
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	ENSG00000173124
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	ENSG00000154930
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	ENSG00000131069
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	ENSG00000111058
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	ENSG00000143632
HGNC:130	ACTA2	actin alpha 2, smooth muscle	ENSG00000107796
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	ENSG00000180139
HGNC:131	ACTA3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	
HGNC:132	ACTB	actin beta	ENSG00000075624
HGNC:17780	ACTBL2	actin beta like 2	ENSG00000169067
HGNC:134	ACTBP1	ACTB pseudogene 1	ENSG00000229145
HGNC:135	ACTBP2	ACTB pseudogene 2	ENSG00000213763
HGNC:136	ACTBP3	ACTB pseudogene 3	
HGNC:137	ACTBP4	ACTB pseudogene 4	ENSG00000286676
HGNC:138	ACTBP5	actin, beta pseudogene 5	
HGNC:139	ACTBP6	ACTB pseudogene 6	ENSG00000203413
HGNC:140	ACTBP7	ACTB pseudogene 7	ENSG00000185607
HGNC:141	ACTBP8	ACTB pseudogene 8	ENSG00000220267
HGNC:142	ACTBP9	ACTB pseudogene 9	ENSG00000266920
HGNC:31819	ACTBP10	ACTB pseudogene 10	
HGNC:33971	ACTBP11	ACTB pseudogene 11	ENSG00000188460
HGNC:150	ACTBP12	ACTB pseudogene 12	ENSG00000233125
HGNC:45086	ACTBP14	ACTB pseudogene 14	ENSG00000229001
HGNC:55065	ACTBP15	ACTB pseudogene 15	ENSG00000213857
HGNC:143	ACTC1	actin alpha cardiac muscle 1	ENSG00000159251
HGNC:51491	ACTE1P	actin epsilon 1, pseudogene	ENSG00000172900
HGNC:144	ACTG1	actin gamma 1	ENSG00000184009
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	ENSG00000178631
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	ENSG00000229129
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	ENSG00000215388
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4	ENSG00000236085
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6	
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7	
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8	
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	ENSG00000229349
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	ENSG00000231340
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11	ENSG00000229465
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12	ENSG00000226642
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13	ENSG00000241305
